"CODGEO","nom_commune","pop_tot","year_data"
"02332","Fresnes-en-Tardenois",268,2017
"02333","Fresnes-sous-Coucy",161,2017
"02334","Fresnoy-le-Grand",2945,2017
"02335","Fressancourt",192,2017
"02336","Frières-Faillouël",998,2017
"02337","Froidestrées",176,2017
"02338","Froidmont-Cohartille",261,2017
"02339","Gandelu",687,2017
"02340","Gauchy",5276,2017
"02341","Gercy",277,2017
"02342","Gergny",135,2017
"02343","Germaine",81,2017
"02345","Gibercourt",42,2017
"02346","Gizy",672,2017
"02347","Gland",450,2017
"02349","Goudelancourt-lès-Berrieux",57,2017
"02350","Goudelancourt-lès-Pierrepont",135,2017
"02351","Goussancourt",116,2017
"02352","Gouy",560,2017
"02353","Grandlup-et-Fay",301,2017
"02354","Grandrieux",83,2017
"02355","Gricourt",980,2017
"02356","Grisolles",252,2017
"02357","Gronard",73,2017
"02358","Grougis",358,2017
"02359","Grugies",1355,2017
"02360","Villeneuve-sur-Aisne",2704,2017
"02361","Guise",4824,2017
"02362","Guivry",243,2017
"02363","Guny",423,2017
"02364","Guyencourt",253,2017
"02366","Hannapes",318,2017
"02367","Happencourt",133,2017
"02368","Haramont",580,2017
"02369","Harcigny",242,2017
"02370","Hargicourt",598,2017
"02371","Harly",1610,2017
"02372","Hartennes-et-Taux",371,2017
"02373","Hary",208,2017
"02374","Lehaucourt",877,2017
"02375","Hautevesnes",167,2017
"02376","Hauteville",166,2017
"02377","Haution",144,2017
"02378","La Hérie",143,2017
"02379","Le Hérie-la-Viéville",230,2017
"02380","Hinacourt",25,2017
"02381","Hirson",8813,2017
"02382","Holnon",1387,2017
"02383","Homblières",1464,2017
"02384","Houry",53,2017
"02385","Housset",149,2017
"02386","Iron",239,2017
"02387","Itancourt",1031,2017
"02388","Iviers",232,2017
"02389","Jaulgonne",645,2017
"02390","Jeancourt",271,2017
"02391","Jeantes",205,2017
"02392","Joncourt",299,2017
"02393","Jouaignes",144,2017
"02395","Jumencourt",146,2017
"02396","Jumigny",64,2017
"02397","Jussy",1260,2017
"02398","Juvigny",277,2017
"02399","Juvincourt-et-Damary",599,2017
"02400","Laffaux",149,2017
"02401","Laigny",196,2017
"02402","Lanchy",37,2017
"02403","Landifay-et-Bertaignemont",269,2017
"02404","Landouzy-la-Cour",187,2017
"02405","Landouzy-la-Ville",541,2017
"02406","Landricourt",137,2017
"02407","Laniscourt",182,2017
"02408","Laon",24876,2017
"02409","Lappion",268,2017
"02410","Largny-sur-Automne",244,2017
"02411","Latilly",208,2017
"02412","Launoy",99,2017
"02413","Laval-en-Laonnois",250,2017
"02414","Lavaqueresse",202,2017
"02415","Laversine",159,2017
"02416","Lemé",430,2017
"02417","Lempire",100,2017
